 Name                      Version      License                              
 Jinja2                    3.1.4        BSD License                          
 MarkupSafe                3.0.2        BSD License                          
 PennyLane                 0.39.0       Apache Software License              
 PennyLane_Lightning       0.39.0       Apache Software License              
 appdirs                   1.4.4        MIT License                          
 autograd                  1.7.0        MIT License                          
 autoray                   0.7.0        Apache Software License              
 cachetools                5.5.0        MIT License                          
 certifi                   2024.8.30    Mozilla Public License 2.0 (MPL 2.0) 
 charset-normalizer        3.4.0        MIT License                          
 contourpy                 1.3.0        BSD License                          
 cycler                    0.12.1       BSD License                          
 filelock                  3.16.1       The Unlicense (Unlicense)            
 fonttools                 4.54.1       MIT License                          
 fsspec                    2024.10.0    BSD License                          
 idna                      3.10         BSD License                          
 joblib                    1.4.2        BSD License                          
 kiwisolver                1.4.7        BSD License                          
 matplotlib                3.9.2        Python Software Foundation License   
 mpmath                    1.3.0        BSD License                          
 networkx                  3.4.2        BSD License                          
 numpy                     2.0.2        BSD License                          
 nvidia-cublas-cu12        12.4.5.8     Other/Proprietary License            
 nvidia-cuda-cupti-cu12    12.4.127     Other/Proprietary License            
 nvidia-cuda-nvrtc-cu12    12.4.127     Other/Proprietary License            
 nvidia-cuda-runtime-cu12  12.4.127     Other/Proprietary License            
 nvidia-cudnn-cu12         9.1.0.70     Other/Proprietary License            
 nvidia-cufft-cu12         11.2.1.3     Other/Proprietary License            
 nvidia-curand-cu12        10.3.5.147   Other/Proprietary License            
 nvidia-cusolver-cu12      11.6.1.9     Other/Proprietary License            
 nvidia-cusparse-cu12      12.3.1.170   Other/Proprietary License            
 nvidia-nccl-cu12          2.21.5       Other/Proprietary License            
 nvidia-nvjitlink-cu12     12.4.127     Other/Proprietary License            
 nvidia-nvtx-cu12          12.4.127     Other/Proprietary License            
 packaging                 24.2         Apache Software License; BSD License 
 pandas                    2.2.3        BSD License                          
 pillow                    11.0.0       CMU License (MIT-CMU)                
 pyparsing                 3.2.0        MIT License                          
 python-dateutil           2.9.0.post0  Apache Software License; BSD License 
 pytz                      2024.2       MIT License                          
 requests                  2.32.3       Apache Software License              
 rustworkx                 0.15.1       Apache Software License              
 scikit-learn              1.5.2        BSD License                          
 scipy                     1.14.1       BSD License                          
 six                       1.16.0       MIT License                          
 sympy                     1.13.1       BSD License                          
 threadpoolctl             3.5.0        BSD License                          
 toml                      0.10.2       MIT License                          
 torch                     2.5.1        BSD License                          
 triton                    3.1.0        MIT License                          
 typing_extensions         4.12.2       Python Software Foundation License   
 tzdata                    2024.2       Apache Software License              
 urllib3                   2.2.3        MIT License                          
